,queen,passage,bat,park,ring,match,bright
24,-0.2819066,0.070329465,0.009149926,2.007199,0.36993846,-0.12337744,-0.41241717
25,-0.31702903,-0.24979582,-0.1325003,-1.4753097,0.59767836,0.50350744,-0.15343386
26,-0.2804993,0.41174453,0.8551435,-0.004310227,-0.020586323,-0.062761754,-0.2731132
27,1.4446317,0.9682525,0.62110394,-0.17225464,1.6327895,-0.76115173,0.49276713
28,-0.7844809,-0.38564467,0.53642595,1.1509271,-0.5908399,1.2064793,-0.52181464
29,2.1611443,0.10526038,0.25670406,-1.0945135,0.7008602,2.309106,-0.59157956
30,-1.4320766,0.08608201,0.25958204,0.851971,-1.465348,0.38926688,0.6268441
31,0.95688665,0.8951232,0.56557655,0.04452331,1.6856469,0.9560579,0.31960082
32,-0.7524191,-0.3726838,-0.6106725,2.0853987,-0.8674448,1.0253284,-0.80985576
33,-0.8501504,-0.6980305,0.15936388,-2.1195443,0.23296334,1.0751064,-0.34294662
34,1.5817602,1.1157268,-0.026710395,0.0386174,-1.2878094,-0.6116925,-1.0430226
35,0.105011344,0.50746745,0.39376557,-0.41395053,0.44616178,-0.36078343,0.11051694
36,-1.37532,0.1528828,-0.35492182,0.6180342,0.755763,0.6784772,-0.42325792
37,-1.0800605,0.6539332,0.75790554,-1.12845,1.0261976,-0.43412188,0.60737944
38,-1.9943426,-0.6919491,0.049485326,-2.471485,0.14257114,1.1373929,-0.5659103
39,3.393433,0.4449649,0.14564033,0.33720073,0.07534206,0.8861768,-0.74755126
40,-1.1251723,-0.16923788,-0.29692808,-2.0483296,-0.36670443,-0.43692163,-0.028856725
41,-1.7174208,0.6015979,0.3306833,1.114456,0.6067144,0.55251217,1.0756229
42,-1.1002012,-0.08437182,1.2045909,1.2553537,0.9415623,1.5074672,0.7749963
43,0.51342356,0.36546832,0.61622286,-0.034578085,-0.33401057,0.41447356,0.29644775
44,0.3518293,-0.5486936,0.40147835,-0.65131336,-0.37770104,-0.10923137,-0.3094189
45,0.27332637,0.20667756,-0.5478907,-1.7836006,-0.3295872,0.08530563,-0.2997386
46,-0.04965496,-0.36435398,0.1749508,-0.8241191,0.05165308,1.7086669,-0.030014932
47,-1.7118559,0.0047131563,0.041536283,-0.018333212,-0.6034747,-0.09610658,0.004121027
48,-0.77900743,-0.07029933,0.6936064,0.84123397,-0.1373858,0.47123438,-0.16628677
49,-0.29269898,-0.81074345,-0.40947217,1.1488395,0.058294863,-0.11178842,0.065831974
50,-0.57175577,0.17289324,0.26711005,-0.15570807,-0.55853003,-0.38089377,-0.37763262
51,-1.5238026,0.016737355,0.3796764,-0.20130928,0.3627331,0.16261786,0.6281869
52,2.5337977,1.3351387,0.5144351,1.394099,0.31925246,0.35555077,0.64212495
53,-1.1369121,0.67334753,-1.0287567,0.30654597,0.51811683,-0.36979526,-1.5134821
54,1.5483501,-0.03379598,0.4861931,1.4934739,-0.12036947,1.0279408,-0.37138173
55,-1.2313249,-0.17224973,0.59506047,-0.426387,-0.44705215,0.28204238,0.47401246
56,-0.16139263,0.4890413,-0.31089276,0.20933767,0.7051635,-0.3451902,0.3865916
57,-0.76144356,-0.30029947,0.33056355,-0.5135671,1.2591391,0.9474242,-0.68492556
58,-1.3408041,-1.1028652,0.23820162,0.9208551,0.23983991,-0.13087404,-0.50542325
59,0.27691984,0.59903806,0.28382874,2.6623828,0.6248194,0.0057668616,-0.29495314
60,-1.6088216,-1.7226084,-0.19086921,1.1413015,-0.22648299,-0.89544386,0.07830474
61,-0.2066693,0.8436147,0.790655,-0.45080632,0.6793985,0.118880436,0.6755882
62,-1.4311631,-0.6138996,-0.44707102,0.48977652,-1.2386078,-1.2424345,-0.4440412
