,card,book,baseball,public,jewellery,fire,light
128,-2.0179155,0.9059086,-1.2811127,-0.5250777,0.05774478,0.069517195,0.04205283
129,1.9584907,0.013413332,0.7225083,1.6132581,0.13866742,0.2292211,-0.9504779
130,-1.0207622,-0.6747857,0.16686735,-0.3617135,0.1877581,0.15568684,1.3968903
131,0.44699222,0.49110585,-0.26338363,1.9242383,0.14583999,-0.7333396,0.6582675
132,0.5694316,1.5629449,0.4267349,0.4535794,0.08600026,-1.8096355,-2.7570512
133,1.3904794,1.4883735,0.5442601,-0.6755792,0.11375666,0.8083959,0.35163715
134,-0.18890518,-0.15193301,1.0219979,1.6887285,-0.036128197,0.470236,0.96175706
135,0.5292368,-0.76459366,-1.3222133,0.3923749,-0.055236254,1.3041525,-0.2020278
136,0.3947061,0.9168168,0.82561857,0.7075264,-0.24821603,-0.9116267,-0.1728874
137,-0.014100684,0.26783004,-0.11894869,0.84804595,-0.17102818,0.24709906,-0.8817806
138,1.4078064,-0.65210336,1.276761,-1.1249245,0.08188146,0.8951461,0.67829967
139,-1.8320436,0.5780527,-0.112256326,-1.0610799,0.014871755,-0.7370588,0.48248145
140,-1.059342,-1.7520882,-0.9481529,0.6078152,-0.07615181,-0.005819349,0.83820283
141,-1.4828334,0.853883,-0.9906109,0.49750817,-0.17398341,-0.12972768,1.3791099
142,0.35135636,-1.0112386,0.53463584,0.94942814,-0.09268169,0.8714032,-0.48002782
143,0.49274755,-0.44637182,-0.1851,2.271665,0.10268274,0.37156212,-0.7599834
144,-0.5930845,-0.6064732,0.5728099,-0.094435416,-0.026981425,0.2439492,-1.8322344
145,-0.36976656,0.05353022,-3.0225568,-0.3314931,0.05380486,1.6765245,1.7511431
146,0.29068118,-0.28124338,-0.76242834,-0.033836797,0.03124434,0.07480461,-0.50895184
147,0.21763505,-0.04136711,0.80740565,0.10308936,-0.09814743,-0.21869771,0.77962935
148,0.41845545,-0.83421326,0.08367387,0.6684448,-0.23718186,0.75009984,0.73430294
149,-2.024472,-1.5155257,0.23028466,1.1612165,-0.028113643,-0.5180292,-0.25332865
150,0.006123978,-0.4923075,0.47718248,0.05882514,0.29178086,1.7657759,3.1392283
151,-1.9913044,0.51060575,0.66012347,-1.6929531,0.23361053,-0.3132906,-1.8668056
152,-0.815289,-0.75852495,-1.0781338,1.92401,0.046733726,0.051041666,0.6344975
153,0.35637262,-0.2313536,0.4215589,-0.9943818,-0.121197134,0.5132425,-0.5260619
154,0.5102039,1.7691092,1.7291772,0.20608853,0.12062506,-0.8808398,0.29320928
155,0.29006147,0.26915753,-1.0472955,0.6553904,0.091572054,-0.6326521,-0.027959676
156,-0.27574137,0.3554746,0.3457138,0.89065826,0.04602927,-2.3243546,1.248723
157,-0.8560356,-0.2713026,0.38763183,1.2621862,0.2969757,-0.47096637,1.361932
158,-1.3577818,-1.4271673,0.6955773,-0.18683273,-0.07448542,-1.8119638,-2.1348877
159,0.3185705,-1.9151736,1.6064793,0.6934594,0.08101631,-0.94082725,-0.9599811
160,0.34826344,-0.084439114,1.5598078,-2.3439734,-0.167498,-2.0126505,0.20060538
161,1.1657358,0.2945098,2.3927922,1.1942897,0.114303745,-0.7913458,0.21722761
162,0.5224925,1.1860166,0.96576315,-0.2774678,0.08027698,0.28894213,2.0414748
163,1.1416395,1.4202268,0.156041,0.099129304,0.04207141,0.46916816,0.14376135
164,-1.6534591,-0.22342509,-0.049023703,-1.1680523,0.27898595,1.8142868,1.5266129
165,-1.1607924,0.35844502,-0.37887713,-0.13423967,-0.14752121,0.81844217,0.8563516
166,0.063831896,0.89879143,-1.2239008,-0.91696215,0.25679374,1.5145094,-1.8039043
167,-0.2519307,0.3146091,0.3821824,-0.03321266,-0.15424198,-0.6788457,0.8766728
168,-0.1323235,2.1347864,-1.8561409,-1.8541738,0.020117518,0.36954778,0.2665434
169,-0.8920727,-1.9243002,-0.027045546,-1.3724896,-0.14524397,0.11602523,-0.36124462
170,-0.6086848,-0.19699015,-0.82841057,-0.55776525,0.03327534,0.9026434,1.3003577
171,0.116340585,-0.039036278,0.22246279,-1.1306477,0.015892737,-0.6206433,-1.5586858
172,0.31219578,0.0018850572,-1.2659084,-0.11558093,0.19026351,0.016982023,-0.3055145
